Simbolo,Nome_Asset,Prezzo_Attuale_USD,Market_Cap_USD,Volume_24h_USD,Variazione_24h_%
BTC,Bitcoin,77011,1545862010957,30754854813,1.09497
ETH,Ethereum,2451.87,295940129430,16298265195,2.97932
USDT,Tether,0.99991,183219981802,57699018603,0.00692
BNB,BNB,697.98,92960165917,984171090,2.19692
XRP,XRP,1.47,92399575257,5387501454,0.37845
USDC,USDC,0.999882,73533349195,14099666332,0.00148
SOL,Solana,94.13,54920050048,3625658573,1.1498
TRX,TRON,0.343978,32648225228,362514442,0.42512
FIGR_HELOC,Figure Heloc,1.0,21693263485,2421096,
HYPE,Hyperliquid,80.1,17821488185,860746204,2.20101
DOGE,Dogecoin,0.092345,14376851719,976776715,2.37631
ZEC,Zcash,836.48,14132223103,1367145715,6.14072
RAIN,Rain,0.0139499,9997456907,35394056,0.72063
USDS,USDS,0.9998,9756305473,65901101,-0.02012
LINK,Chainlink,11.55,8642745487,546151899,3.06123
LEO,LEO Token,9.31,8564181203,362461,-1.69932
WBT,WhiteBIT Coin,72.06,8503224542,148943529,1.47631
ADA,Cardano,0.220335,8262971616,556984526,1.10747
XMR,Monero,416.29,7828820587,89791407,-3.23662
XLM,Stellar,0.195511,6761748352,284310703,2.18208
BCH,Bitcoin Cash,269.87,5418929296,201279120,0.58768
CC,Canton,0.122628,4832429159,16219759,6.2555
DAI,Dai,0.999761,4586635547,200727480,-0.00703
USDE,Ethena USDe,0.999865,4076065052,63160207,-0.00784
GRAM,Gram (prev. Toncoin),1.47,4073270410,53481591,2.51344
LTC,Litecoin,52.06,4037764848,293470524,1.8036
USD1,USD1,0.999911,4002511138,875785060,0.01793
HBAR,Hedera,0.079629,3491155291,106252429,4.02368
USDG,Global Dollar,0.999954,3384591629,298266277,-0.01216
SUI,Sui,0.826884,3370791930,766962455,4.19113
