Dominio,Status_HTTP,Server_Header,Content_Type,Tempo_Risposta_ms
shopify.com,301,cloudflare,text/html; charset=UTF-8,67
stripe.com,200,nginx,text/html; charset=utf-8,277
woocommerce.com,200,nginx,text/html; charset=UTF-8,108
notion.so,301,cloudflare,text/html; charset=UTF-8,77
hubspot.com,301,cloudflare,text/html; charset=UTF-8,91
klaviyo.com,301,AmazonS3,text/html,93
canva.com,301,CloudFront,text/html,96
linear.app,200,cloudflare,text/html; charset=utf-8,173
figma.com,301,Cloudflare/Protected,text/html,246
intercom.com,301,AmazonS3,text/html,96
webflow.com,200,Cloudflare/Protected,text/html; charset=utf-8,150
squarespace.com,301,Squarespace,text/html,108
airtable.com,301,Tengine,text/plain; charset=utf-8,144
miro.com,200,Cloudflare/Protected,text/html,276
slack.com,200,Apache,text/html; charset=utf-8,266
